Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:20:49.543000,22,0 days 00:02:03.776000,1,0,0 days 00:18:50.729000,,0 days 00:00:59.055000,0 days 00:00:22.070000,0 days 00:00:42.651000,0 days 00:19:44.886000,0 days 00:20:06.952000,0 days 00:20:49.543000,213.0,283.0,309.0,107.0,False
0 days 00:22:06.295000,22,0 days 00:01:16.752000,2,0,,,0 days 00:00:26.690000,0 days 00:00:17.234000,0 days 00:00:32.828000,0 days 00:21:16.233000,0 days 00:21:33.467000,0 days 00:22:06.295000,289.0,328.0,309.0,327.0,True
0 days 00:26:19.443000,22,,3,1,,0 days 00:23:42.524000,0 days 00:00:36.441000,0 days 00:00:20.573000,,0 days 00:22:42.786000,0 days 00:23:03.329000,,175.0,256.0,,241.0,False
0 days 00:28:14.926000,22,0 days 00:01:55.483000,4,1,0 days 00:26:22.964000,,0 days 00:00:52.314000,0 days 00:00:22.091000,0 days 00:00:41.078000,0 days 00:27:11.757000,0 days 00:27:33.848000,0 days 00:28:14.926000,209.0,289.0,309.0,89.0,False
0 days 00:29:31.151000,22,0 days 00:01:16.225000,5,1,,,0 days 00:00:26.468000,0 days 00:00:17.173000,0 days 00:00:32.584000,0 days 00:28:41.394000,0 days 00:28:58.567000,0 days 00:29:31.151000,291.0,328.0,307.0,326.0,True
0 days 00:41:59.489000,22,,6,2,,0 days 00:31:14.221000,0 days 00:00:36.815000,0 days 00:00:23.677000,,0 days 00:30:08.022000,0 days 00:30:31.724000,,207.0,277.0,,289.0,False
0 days 00:43:55.882000,22,0 days 00:01:56.393000,7,2,0 days 00:42:04.396000,,0 days 00:00:51.695000,0 days 00:00:22.126000,0 days 00:00:42.572000,0 days 00:42:51.184000,0 days 00:43:13.310000,0 days 00:43:55.882000,195.0,281.0,308.0,85.0,False
0 days 00:45:11.891000,22,0 days 00:01:16.009000,8,2,,,0 days 00:00:26.264000,0 days 00:00:17.193000,0 days 00:00:32.552000,0 days 00:44:22.146000,0 days 00:44:39.339000,0 days 00:45:11.891000,289.0,325.0,307.0,325.0,True
0 days 00:49:22.908000,22,,9,3,,0 days 00:46:46.128000,0 days 00:00:32.375000,0 days 00:00:21.048000,,0 days 00:45:44.418000,0 days 00:46:05.349000,,225.0,273.0,,284.0,False
0 days 00:51:15.855000,22,,10,3,0 days 00:49:22.908000,,0 days 00:01:27.433000,0 days 00:00:22.003000,0 days 00:00:40.978000,0 days 00:50:12.874000,0 days 00:50:35.002000,0 days 00:51:16.124000,194.0,301.0,310.0,95.0,False
0 days 00:52:32.160000,22,0 days 00:01:16.305000,11,3,,,0 days 00:00:26.311000,0 days 00:00:17.151000,0 days 00:00:32.843000,0 days 00:51:42.166000,0 days 00:51:59.317000,0 days 00:52:32.160000,288.0,327.0,311.0,327.0,False
0 days 01:02:02.250000,22,,12,4,,0 days 00:54:16.482000,0 days 00:00:35.212000,0 days 00:00:24.070000,,0 days 00:53:07.442000,0 days 00:53:31.469000,,234.0,214.0,,280.0,False
0 days 01:03:55.550000,22,0 days 00:01:53.300000,13,4,0 days 01:02:07.234000,,0 days 00:00:50.454000,0 days 00:00:21.003000,0 days 00:00:41.843000,0 days 01:02:52.704000,0 days 01:03:13.707000,0 days 01:03:55.550000,138.0,304.0,311.0,150.0,False
0 days 01:05:11.789000,22,0 days 00:01:16.239000,14,4,,,0 days 00:00:26.329000,0 days 00:00:17.151000,0 days 00:00:32.759000,0 days 01:04:21.879000,0 days 01:04:39.030000,0 days 01:05:11.789000,289.0,327.0,308.0,330.0,True
0 days 01:09:51.318000,22,,15,5,,0 days 01:06:38.518000,0 days 00:00:30.736000,0 days 00:00:19.769000,,0 days 01:05:42.554000,0 days 01:06:02.360000,,260.0,285.0,,276.0,False
0 days 01:11:53.103000,22,0 days 00:02:01.785000,16,5,0 days 01:10:01.581000,,0 days 00:00:58.759000,0 days 00:00:22.739000,0 days 00:00:40.287000,0 days 01:10:50.077000,0 days 01:11:12.816000,0 days 01:11:53.103000,219.0,295.0,311.0,125.0,False
