Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 01:24:06.778000,63,5,+4.656,+0.118
0 days 01:24:11.703000,63,4,+4.656,+0.118
0 days 01:24:11.777000,63,4,+4.455,+0.230
0 days 01:24:17.648000,63,4,+4.756,+0.368
0 days 01:24:21.809000,63,4,+4.551,+0.203
0 days 01:24:24.656000,63,4,+4.473,+0.124
0 days 01:24:31.677000,63,3,+4.473,+0.124
0 days 01:24:31.764000,63,3,+4.423,+2.096
0 days 01:24:35.597000,63,3,+4.460,+2.146
0 days 01:24:39.707000,63,3,+4.439,+2.030
0 days 01:24:45.295000,63,3,+4.323,+1.938
0 days 01:24:50.017000,63,3,+4.124,+1.871
0 days 01:24:53.959000,63,3,+4.050,+1.822
0 days 01:25:00.075000,63,3,+3.813,+1.759
0 days 01:25:05.295000,63,3,+3.555,+1.616
0 days 01:25:09.624000,63,3,+3.494,+1.552
0 days 01:25:14.411000,63,3,+3.435,+1.490
0 days 01:25:18.187000,63,3,+3.390,+1.445
0 days 01:25:26.538000,63,3,+3.271,+1.519
0 days 01:25:30.528000,63,3,+3.279,+1.554
0 days 01:25:31.477000,63,3,+3.292,+1.629
0 days 01:25:35.870000,63,3,+3.261,+1.643
0 days 01:25:40.249000,63,3,+3.252,+1.653
0 days 01:25:41.475000,63,3,+3.258,+1.683
0 days 01:25:43.893000,63,3,+3.279,+1.826
0 days 01:25:49.071000,63,3,+3.217,+1.995
0 days 01:25:54.476000,63,3,+3.189,+2.029
0 days 01:25:58.777000,63,3,+3.070,+2.014
0 days 01:26:01.769000,63,3,+3.061,+2.012
0 days 01:26:08.797000,63,3,+2.986,+2.015
0 days 01:26:12.600000,63,3,+2.989,+2.020
0 days 01:26:16.750000,63,3,+3.049,+1.906
0 days 01:26:22.467000,63,3,+2.961,+1.859
0 days 01:26:27.250000,63,3,+2.904,+1.890
0 days 01:26:31.284000,63,3,+2.879,+1.889
0 days 01:26:37.475000,63,3,+2.769,+1.887
0 days 01:26:42.694000,63,3,+2.490,+1.761
0 days 01:26:47.045000,63,3,+2.437,+1.746
0 days 01:26:51.802000,63,3,+2.370,+1.790
0 days 01:26:55.550000,63,3,+2.316,+1.958
0 days 01:27:04.026000,63,3,+2.207,+1.815
0 days 01:27:08.041000,63,3,+2.241,+1.791
0 days 01:27:09.123000,63,3,+2.367,+1.790
0 days 01:27:13.599000,63,3,+2.602,+1.912
0 days 01:27:18.039000,63,3,+2.563,+2.056
0 days 01:27:19.142000,63,4,+2.563,+2.056
0 days 01:27:19.314000,63,4,+2.548,+0.044
0 days 01:27:21.909000,63,4,+2.784,+0.288
0 days 01:27:27.251000,63,4,+3.133,+0.775
